K_Value,Text_Num,Topic,TFIDF_acc,TFIDF_pc,TFIDF_rc,TFIDF_f1,TFIDF_fb15,TFIDF_fb20,TFIDF_fb25,TFIDF_fb30,TextRank_acc,TextRank_pc,TextRank_rc,TextRank_f1,TextRank_fb15,TextRank_fb20,TextRank_fb25,TextRank_fb30,LDA_acc,LDA_pc,LDA_rc,LDA_f1,LDA_fb15,LDA_fb20,LDA_fb25,LDA_fb30
5,107,Visually_impaired_mom,0.125,0.2,0.25,0.2222,0.2321,0.2381,0.2417,0.2439,0,0,0,0,0,0,0,0,0.2857,0.4,0.5,0.4444,0.4643,0.4762,0.4833,0.4878
5,128,Okmart_charity_event,0.1111,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0.4286,0.6,0.6,0.6,0.6,0.6,0.6,0.6
5,129,Okmart_charity_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.4,0.4,0.4,0.4,0.4,0.4,0.4
5,130,Okmart_charity_event,0.1111,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0.4286,0.6,0.6,0.6,0.6,0.6,0.6,0.6
5,131,Okmart_charity_event,0.1111,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0.4286,0.6,0.6,0.6,0.6,0.6,0.6,0.6
5,132,Okmart_charity_event,0.1111,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0.4286,0.6,0.6,0.6,0.6,0.6,0.6,0.6
5,133,Okmart_charity_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4286,0.6,0.6,0.6,0.6,0.6,0.6,0.6
5,134,Okmart_charity_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4286,0.6,0.6,0.6,0.6,0.6,0.6,0.6
5,135,Okmart_charity_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.4,0.4,0.4,0.4,0.4,0.4,0.4
5,244,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5556,1,0.5556,0.7143,0.6436,0.6098,0.5919,0.5814
