K_Value,Topic,TFIDF_acc_avg,TFIDF_pc_avg,TFIDF_rc_avg,TFIDF_f1_avg,TFIDF_fb15_avg,TFIDF_fb20_avg,TFIDF_fb25_avg,TFIDF_fb30_avg,TextRank_acc_avg,TextRank_pc_avg,TextRank_rc_avg,TextRank_f1_avg,TextRank_fb15_avg,TextRank_fb20_avg,TextRank_fb25_avg,TextRank_fb30_avg,LDA_acc_avg,LDA_pc_avg,LDA_rc_avg,LDA_f1_avg,LDA_fb15_avg,LDA_fb20_avg,LDA_fb25_avg,LDA_fb30_avg
30,dark experience,0.0483,0.0533,0.3167,0.0908,0.1247,0.1578,0.1865,0.2099,0,0,0,0,0,0,0,0,0.1567,0.16,0.8667,0.2692,0.3655,0.4573,0.535,0.5974
31,Visually_impaired_mom,0.0606,0.0645,0.5,0.1143,0.1625,0.2127,0.2589,0.2985,0,0,0,0,0,0,0,0,0.122,0.1226,0.95,0.2171,0.3087,0.4042,0.4919,0.5671
31,Okmart_charity_event,0.0994,0.1048,0.65,0.1806,0.25,0.3187,0.3785,0.4277,0.0078,0.0104,0.025,0.0147,0.0175,0.0195,0.021,0.0219,0.1613,0.1613,1,0.2778,0.3846,0.4902,0.5823,0.6579
31,life_rebuild_event,0.0424,0.0511,0.197,0.0807,0.1041,0.1244,0.1403,0.1522,0.0235,0.0319,0.0824,0.0456,0.0548,0.062,0.0671,0.0707,0.23,0.2366,0.8412,0.3684,0.4693,0.5547,0.6198,0.6679
31,dark experience,0.0469,0.0516,0.3167,0.0884,0.1218,0.1548,0.1836,0.2072,0,0,0,0,0,0,0,0,0.1517,0.1548,0.8667,0.2619,0.3571,0.4487,0.5269,0.5899
32,Visually_impaired_mom,0.0588,0.0625,0.5,0.1111,0.1585,0.2083,0.2544,0.2941,0,0,0,0,0,0,0,0,0.1182,0.1188,0.95,0.2111,0.3013,0.3959,0.4834,0.5588
32,Okmart_charity_event,0.0965,0.1016,0.65,0.1757,0.2443,0.3126,0.3726,0.4222,0.0078,0.0104,0.025,0.0147,0.0175,0.0195,0.021,0.0219,0.1562,0.1562,1,0.2702,0.3756,0.4807,0.573,0.6493
32,life_rebuild_event,0.0456,0.0547,0.2146,0.0868,0.1122,0.1344,0.1518,0.1649,0.0235,0.0319,0.0824,0.0456,0.0548,0.062,0.0671,0.0707,0.2263,0.2318,0.8505,0.3634,0.4654,0.5524,0.6194,0.6692
32,dark experience,0.0515,0.0562,0.35,0.0965,0.1333,0.1696,0.2015,0.2278,0,0,0,0,0,0,0,0,0.161,0.1625,0.9333,0.276,0.3777,0.4762,0.5608,0.6293
33,Visually_impaired_mom,0.0571,0.0606,0.5,0.1081,0.1547,0.2041,0.25,0.2898,0,0,0,0,0,0,0,0,0.1146,0.1151,0.95,0.2054,0.294,0.3877,0.475,0.5507
33,Okmart_charity_event,0.0937,0.0985,0.65,0.171,0.2387,0.3066,0.3667,0.4166,0.0078,0.0104,0.025,0.0147,0.0175,0.0195,0.021,0.0219,0.1515,0.1515,1,0.2631,0.3672,0.4717,0.5642,0.641
33,life_rebuild_event,0.0445,0.053,0.2146,0.0846,0.11,0.1324,0.15,0.1634,0.0235,0.0319,0.0824,0.0456,0.0548,0.062,0.0671,0.0707,0.2227,0.2272,0.8597,0.3587,0.4616,0.5503,0.6191,0.6704
33,dark experience,0.0501,0.0545,0.35,0.094,0.1303,0.1665,0.1984,0.2249,0,0,0,0,0,0,0,0,0.1492,0.1515,0.9,0.2586,0.3554,0.45,0.5319,0.5987
34,Visually_impaired_mom,0.0556,0.0588,0.5,0.1052,0.1511,0.1999,0.2457,0.2857,0,0,0,0,0,0,0,0,0.1112,0.1117,0.95,0.2,0.2871,0.3799,0.4668,0.5427
34,Okmart_charity_event,0.0911,0.0956,0.65,0.1666,0.2334,0.3008,0.3611,0.4113,0.0078,0.0104,0.025,0.0147,0.0175,0.0195,0.021,0.0219,0.1471,0.1471,1,0.2565,0.3592,0.463,0.5556,0.633
34,life_rebuild_event,0.0433,0.0514,0.2146,0.0826,0.1079,0.1303,0.1482,0.1618,0.0235,0.0319,0.0824,0.0456,0.0548,0.062,0.0671,0.0707,0.2133,0.2181,0.8505,0.3465,0.4481,0.5364,0.6054,0.6572
34,dark experience,0.0487,0.0529,0.35,0.0915,0.1274,0.1634,0.1954,0.222,0,0,0,0,0,0,0,0,0.1449,0.1471,0.9,0.2521,0.3478,0.4421,0.5241,0.5916
35,Visually_impaired_mom,0.0541,0.0571,0.5,0.1025,0.1476,0.196,0.2416,0.2816,0,0,0,0,0,0,0,0,0.1081,0.1086,0.95,0.1949,0.2807,0.3726,0.4592,0.5352
35,Okmart_charity_event,0.0886,0.0928,0.65,0.1625,0.2284,0.2954,0.3557,0.4062,0.0078,0.0104,0.025,0.0147,0.0175,0.0195,0.021,0.0219,0.1429,0.1429,1,0.2501,0.3514,0.4546,0.5473,0.6251
35,life_rebuild_event,0.0444,0.0524,0.2238,0.0845,0.1108,0.1343,0.1531,0.1675,0.0235,0.0319,0.0824,0.0456,0.0548,0.062,0.0671,0.0707,0.2102,0.2143,0.8597,0.3423,0.4448,0.5346,0.6052,0.6586
35,dark experience,0.0474,0.0514,0.35,0.0893,0.1248,0.1605,0.1926,0.2194,0,0,0,0,0,0,0,0,0.1473,0.1486,0.9333,0.2556,0.3539,0.4513,0.5367,0.607
